326.03,1.29,,6165.6,0.231,,,19,2.7,
516.21997,1.53,,4684.8142,0.08,,,29.79,2.78,
185.84,0.83,,1525.5,0,,,11,2.2,
1773.40002,2.93,,1481.0878,0.37,,,0.93,0.9,
798.5,1.66,,565.7374,0.68,,,1.13,1.08,
993.3,2.6,,3273.5,0.08,,,8.5,2.3,
,330,,3000,,,1700,,0.85,0.005
30.3506,0.19,,289.2253,0.042,,,10.64,0.99,6.92
452.8,1.333,,632.46,0.09,,,4.9,1.54,2.7
883,2.08,,273.32,0.29,,,4.9,1.54,2.7
,84,,4131.79,,,,,0.19,0.03
,52,,7786.5,,,,,0.4,0.12
,156,16.141,4417.837,,,,0.28,0.11,0.035
,15,,2383.6,,,,,0.02,0.001
,46,,1271,,,1150,0.22,0.19,
416,0.92,,603.877,,,,,0.48,
7336.5,,10.31,6657.48,0.26,,2075,0.12,0.08,
,230,,3972.875,,,,,0.6,0.12
335.10001,0.99,,4392.4106,0.29,,,1.41,1.93,
269.3,0.87,,2256.5,0.432,,,18.11,1.23,4.604
479.1,1.19,,1233.13,0.38,,,22.03,0.98,9.49
1078,2.1,,804.08,0.032,,,1.21,1.06,
2391,3.6,,171.621,0.098,,,1.21,1.06,
14002,11.6,,521.22,0.16,,,1.21,1.06,
11688,12,,,0.45,,,1.49,1.65,
4.230785,0.0527,,150.009,0.013,,,1.18,1.03,
14.65152,0.115227,,263.9785,0.0034,,,,0.95,
44.4175,0.241376,,54.4738,0.02,,,,0.95,
4825,5.503,,1232.493,0.019,,,,0.95,
0.736539,0.01544,1.91,8.08,,,,0.96,0.9,
262,0.788,,44.812,0.305,,,,0.95,
934.3,2.11,,638.8383,0.073,,,5.2,1.44,
4.215,0.050201,,5.1,0.12,,,0.96,0.94,8.96
38.021,0.2175,,18.2,0.14,,,0.96,0.94,8.96
123.01,0.476,,22.9,0.35,,,0.96,0.94,8.96
735.1,1.758,,587.9855,0.06,,,4.87,1.34,4.3
996,2.153,,276.5121,0.08,,,4.87,1.34,4.3
116.688,0.481,,2357.02728,0.3988,,,1.89,1.09,
691.9,2.1,,953.49,0.117,,,10.5,2.49,
93.4,0.49,,416.3573,0.06,,,10.3,1.44,
952.7,2.5,,1684.4,0.206,,,11,2.4,
181.4,0.7,,1017,0.027,,,11,1.4,3.56
,260,,4290.5,,,,,,0.03
8.46321,0.066,4.203,57.2094,0.1,,,0.75,0.5,0.022
481.9,1.3,,2034.112,0.2,,,32.35,1.14,5.2
268.94,0.78,,330.5432,0.29,,,0.86,0.49,
153.22,0.576,,337.21763,0.001,,,8.95,1.08,7.41
137.48,0.539,,352.78,0.26,,,14.7,1.1,7.1
379.63,1.05,,17668.1697,0.15,,,71.02,10.83,
621.99,2.01,,3963.17,0.18,,,49,2.8,
578.2,1.3,,1334.886,0.21,,,17.3,0.8,
41.6855,,2.578,22.2481,0,,,1.08,1.67,
392.6,1,,289.2253,0.2,,,11,0.74,
733,1.7,,540.311,0.76,,,10.33,1.09,
2590,4.2,,508.5,0.35,,,7.6,1.52,2.34
3.8728,0.0428,,8.5,0,,,,0.7,4.4
125.94,0.435,,53,0.31,,,,0.7,4.4
5.6,0.06,,12.7132,0.15,,,0.71,0.5,
237.6,0.68,,104,0.19,,,,0.74,4.5
3.48777,0.04,,187.5197,0.02,,,0.91,1.47,
1634,2.36,,206.5895,0.05,,,0.64,0.65,7.4
74.2,0.3,,15.37,0.4,,,0.64,0.65,7.4
714.29999,1.66,,3108.3774,0.21,,,19.17,2.12,
655.6,1.34,,1620.9,0.54,,,0.69,0.74,4.3
10037.5,2.6,,3337.1,,,370,,0.02,
,210,,3994.486,,,,,0.35,0.002
8.9891,,,3686.828,0.25,,,,0.9,0.003
,440,24.66,5403,,,2600,,,0.002
1.5089557,,16.7,327.35,0,,1898,1.11,0.95,
13.2406,0.1055,10.87,874,0.53,,600,0.79,0.89,3
2.99433,0.0436,16.03,740.51,0,,1657,1.37,1.27,2
2.828042,0.04016,16.14,291.438,0.07,,1442,1.12,1.08,6.3
4.03519,0.051,9.92,415.704,0,,1700,1.01,1.09,1.635
1.51214,0.027,12.22,2415.4,0,,1952,1.21,1.13,4.2
5.35227,0.0618,13.11,170.032,0.33,,,1.19,1.1,6.73
3.7681,0.0461,11.43,772.29,0,,1626,1.59,1.04,10.7
1.9000693,0.0295,14.68,1102.82,0.08,,1550,1,0.95,
3.89713,0.0518,14.46,352.78,0.047,,2000,1.65,1.21,5
1.7429935,0.02798,16.432,1102.82,0.0143,,,0.91,0.96,2.7
9.24285,0.09,,1366.669,0.59,,,,1.14,
1675,2.9,,5403.11,0.6,,,,1.14,
2.72474,0.0417,14.572,718.2958,0,,,1.95,1.29,4.1
9.75598,0.092,4.88,12.2,0.077,,885,1.14,1.1,3.3
3.6313,0.048,11.77,889.9,0.16,,1660,1.61,1.14,7.2
5.1134,0.056,3.7,5.7,0,,1070,0.86,0.91,11
11.759,0.098,5,28,0,,850,0.86,0.91,11
4.86069,0.0578,12.11,85.81,0,,1330,1.19,1.09,4.5
4.20474,0.0526,14.12,165.26,0,,1600,1.79,1.09,8.6
